Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2012-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.5 (22.3 kWh/100 km),56,4,Z,6,5,6,550,54,,
2013-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,550,45,,
2013-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2013-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2013-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2014-01-01,Cadillac,ELR,Compact,117,1,4,AV,B,2.9 (25.3 kWh/100 km),59,5,Z,7,6,7,493,50,,
2014-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,550,45,,
2014-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2014-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2014-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,,
2014-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2015-01-01,BMW,i3 REx,Subcompact,125,0,2,A1,B,2.0 (17.9 kWh/100 km),116,4,Z,5,6,6,119,22,,
2015-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,,
2015-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.4 (21.4 kWh/100 km),61,4,Z,6,5,6,547,50,,
2015-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2015-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X,2.7 ([23.2 kWh + 0.1 L]/100 km),32,2,X,5,6,6,856,80,,
2015-01-01,Porsche,918 Spyder,Two-seater,157,4,8,A7,B,3.4 (30.7 kWh/100 km),21,3,Z,11,10,10,649,172,,
2015-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.0 (43.2 kWh/100 km),24,3,Z,11,9,10,758,162,,
2015-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,,
2015-01-01,Toyota,Prius Plug-in Hybrid,Mid-size,60,1,4,AV,B/X,2.5 ([18.0 kWh + 0.4 L]/100 km),18,1,X,4,4,4,845,101,,
2016-01-01,Audi,A3 e-tron,Compact,80,1,4,A6,B/Z*,2.8 ([25.2 kWh + 0.0 L]/100 km),26,2,Z,7,6,6,591,98,10,
2016-01-01,Audi,A3 e-tron ultra,Compact,80,1,4,A6,B/Z*,2.7 ([23.9 kWh + 0.0 L]/100 km),27,2,Z,6,5,6,663,85,10,
